Transitions:
Start: (0, 0)
Move 17: (1, 30) -> (0, 32)
Move 17: (1, 30) -> (2, 32)
Move 17: (3, 30) -> (4, 32)
Move 19: (0, 31) -> (1, 33)
Move 19: (2, 31) -> (3, 33)
Move 16: (10, 22) -> (11, 24)
Move 16: (10, 22) -> (12, 23)
Move 16: (11, 21) -> (13, 22)
Move 16: (12, 20) -> (14, 21)
Move 16: (13, 19) -> (15, 20)
Move 16: (14, 18) -> (16, 19)
Move 16: (15, 17) -> (17, 18)
Move 16: (16, 16) -> (18, 17)
Move 16: (17, 15) -> (19, 16)
Move 16: (18, 14) -> (20, 15)
Move 14: (19, 13) -> (21, 14)
Move 14: (20, 12) -> (22, 13)
Move 16: (9, 23) -> (10, 25)
Move 14: (21, 11) -> (23, 12)
Move 14: (8, 24) -> (9, 26)
Move 14: (22, 10) -> (24, 11)
Move 16: (7, 25) -> (8, 27)
Move 14: (23, 9) -> (25, 10)
Move 16: (6, 26) -> (7, 28)
Move 14: (24, 8) -> (26, 9)
Move 18: (5, 27) -> (6, 29)
Move 16: (25, 7) -> (27, 8)
Move 16: (4, 28) -> (5, 30)
Move 16: (26, 6) -> (28, 7)
Move 18: (3, 29) -> (4, 31)
Move 16: (27, 5) -> (29, 6)
Move 18: (2, 30) -> (3, 32)
Move 16: (28, 4) -> (30, 5)
Move 20: (1, 31) -> (0, 33)
Move 20: (1, 31) -> (2, 33)
Move 18: (0, 32) -> (1, 34)
Move 18: (29, 1) -> (31, 2)
Move 18: (29, 1) -> (31, 0)
Move 18: (29, 3) -> (31, 4)
Move 18: (30, 0) -> (32, 1)
Move 18: (30, 2) -> (32, 3)
Move 17: (30, 1) -> (32, 2)
Move 17: (30, 1) -> (32, 0)
Move 17: (30, 3) -> (32, 4)
Move 19: (31, 0) -> (33, 1)
Move 19: (31, 2) -> (33, 3)
Move 18: (31, 1) -> (33, 2)
Move 18: (31, 1) -> (33, 0)
Move 18: (32, 0) -> (34, 1)
Move 14: (11, 23) -> (12, 25)
Move 14: (11, 23) -> (13, 24)
Move 14: (12, 22) -> (14, 23)
